0.97, -9.51, 1.76, 33.14, 1236.50, 27.42, 2.05, 95275.55, 5.44, 11.88,1
1.08, -9.60, 1.69, 33.14, 1236.50, 27.42, 2.05, 95275.55, 5.44, 11.88,1
1.28, -9.73, 2.11, 33.13, 1236.50, 27.42, 2.06, 95264.84, 5.45, 11.87,2
1.16, -9.80, 1.77, 33.13, 1236.50, 27.42, 2.06, 95264.84, 5.45, 11.87,5
1.41, -9.86, 1.80, 33.14, 1237.00, 27.40, 2.06, 95272.00, 5.45, 11.86,5
1.69, -9.79, 2.13, 33.14, 1237.00, 27.40, 2.06, 95272.00, 5.45, 11.86,5
1.98, -9.93, 2.02, 33.13, 1237.00, 27.40, 2.06, 95270.31, 5.45, 11.85,5
2.04, -10.33, 1.68, 33.13, 1237.00, 27.40, 2.06, 95270.31, 5.45, 11.85,5
2.52, -10.83, 1.60, 33.12, 1237.00, 27.39, 2.06, 95272.22, 5.45, 11.84,5
2.01, -10.68, 1.15, 33.12, 1237.00, 27.39, 2.06, 95272.22, 5.45, 11.84,5
1.29, -9.73, 0.95, 33.13, 1250.50, 27.37, 2.07, 95273.88, 5.45, 11.84,5
0.60, -9.07, 1.40, 33.13, 1250.50, 27.37, 2.07, 95273.88, 5.45, 11.84,5
0.73, -9.30, 1.47, 33.12, 1250.50, 27.36, 2.05, 95266.75, 5.45, 11.82,5
0.84, -9.33, 1.17, 33.12, 1250.50, 27.36, 2.05, 95266.75, 5.45, 11.82,5
0.75, -9.11, 1.41, 33.13, 1250.50, 27.35, 2.06, 95270.31, 5.45, 11.83,5
1.10, -8.97, 1.91, 33.13, 1250.50, 27.35, 2.06, 95270.31, 5.45, 11.83,5
1.47, -8.71, 1.77, 33.13, 1306.50, 27.35, 2.06, 95275.78, 5.44, 11.83,5
1.25, -8.77, 1.71, 33.13, 1306.50, 27.35, 2.06, 95275.78, 5.44, 11.83,5
1.26, -8.83, 1.93, 33.13, 1306.50, 27.34, 2.06, 95268.41, 5.45, 11.82,5
0.88, -9.23, 1.62, 33.13, 1306.50, 27.34, 2.06, 95268.41, 5.45, 11.82,5
0.86, -9.63, 1.29, 33.12, 1306.50, 27.32, 2.07, 95269.48, 5.45, 11.80,5
1.01, -9.53, 1.60, 33.12, 1306.50, 27.32, 2.07, 95269.48, 5.45, 11.80,5
0.94, -9.39, 1.21, 33.13, 1348.25, 27.34, 2.06, 95271.14, 5.45, 11.82,5
0.86, -9.70, 1.29, 33.13, 1348.25, 27.34, 2.06, 95271.14, 5.45, 11.82,5
0.55, -9.86, 1.08, 33.12, 1348.25, 27.35, 2.06, 95271.39, 5.45, 11.82,5
0.54, -9.82, 0.84, 33.12, 1348.25, 27.35, 2.06, 95271.39, 5.45, 11.82,5
0.61, -9.64, 1.31, 33.12, 1348.25, 27.37, 2.06, 95269.48, 5.45, 11.83,5
0.66, -9.74, 0.80, 33.12, 1348.25, 27.37, 2.06, 95269.48, 5.45, 11.83,5
0.32, -9.76, 1.15, 33.13, 1410.50, 27.34, 2.06, 95273.88, 5.45, 11.82,5
0.24, -9.68, 1.53, 33.13, 1410.50, 27.34, 2.06, 95273.88, 5.45, 11.82,5
0.10, -9.79, 1.21, 33.11, 1410.50, 27.36, 2.06, 95267.83, 5.45, 11.81,5
0.24, -9.65, 0.90, 33.11, 1410.50, 27.36, 2.06, 95267.83, 5.45, 11.81,5
0.47, -9.70, 0.87, 33.12, 1410.50, 27.38, 2.05, 95274.95, 5.45, 11.84,5
